District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,Start_date
Aurora Joint District No. 28 of the counties of Adams and A,In Person,64,40088,AURORA,CO,2022-12-25
Platte Canyon School District No. 1 of the county of Park,In Person,3,889,BAILEY,CO,2022-12-25
Bayfield School District No. 10Jt-R,In Person,4,1363,BAYFIELD,CO,2022-12-25
Moffat School District No. 2 in the county of Saguache and,In Person,2,227,MOFFAT,CO,2022-12-25
Moffat County School District RE: No. 1,In Person,7,2202,CRAIG,CO,2022-12-25
Monte Vista School District No. C-8,In Person,6,1168,MONTE VISTA,CO,2022-12-25
Montrose County School District Re-1J,In Person,14,6215,MONTROSE,CO,2022-12-25
Lewis-Palmer Consolidated School District No. 38 in the co,In Person,10,6756,MONUMENT,CO,2022-12-25
West End School District No. Re-2,In Person,4,272,NUCLA,CO,2022-12-25
Revere School District,In Person,2,139,OVID,CO,2022-12-25
School District No. Re-5 Plateau,In Person,2,165,PEETZ,CO,2022-12-25
Pritchett School District No. Re-3,In Person,3,60,PRITCHETT,CO,2022-12-25
Pueblo School District No. 60 in the county of Pueblo and,In Person,35,16065,PUEBLO,CO,2022-12-25
Pueblo County School District 70,In Person,26,10555,PUEBLO,CO,2022-12-25
Rangely School District RE4,In Person,2,518,RANGELY,CO,2022-12-25
Garfield School District No. Re-2,In Person,10,4802,RIFLE,CO,2022-12-25
Mountain Valley School District No. Re 1,In Person,1,170,SAGUACHE,CO,2022-12-25
Centennial School District No. R-1,In Person,1,219,SAN LUIS,CO,2022-12-25
Sanford School District No. 6 in the county of Conejos and,In Person,2,353,SANFORD,CO,2022-12-25
Sargent School District No. Re-33J,In Person,3,354,MONTE VISTA,CO,2022-12-25
School District No. 3 in the county of El Paso and State of,In Person,17,9669,COLORADO SPRINGS,CO,2022-12-25
Hi-Plains R-23,In Person,1,130,SEIBERT,CO,2022-12-25
Sheridan School District No. 2,In Person,5,1359,ENGLEWOOD,CO,2022-12-25
Meriden School District,In Person,12,8117,Meriden,CT,2022-12-25
Middletown School District,In Person,11,4548,Middletown,CT,2022-12-25
Milford School District,In Person,13,5583,Milford,CT,2022-12-25
Monroe School District,In Person,5,3123,Monroe,CT,2022-12-25
Naugatuck School District,In Person,9,4359,Naugatuck,CT,2022-12-25
New Britain School District,In Person,14,10032,New Britain,CT,2022-12-25
New Canaan School District,In Person,5,4208,New Canaan,CT,2022-12-25
